,BEGIN_POST,END_POST,crash_num,crash,month,day,hour,min,zone_id
12,1.0,2.0,1,yes,3,15,23,30,11746.0
12,1.0,2.0,1,yes,3,15,23,30,11764.0
12,1.0,2.0,1,yes,3,15,23,30,11713.0
12,1.0,2.0,1,yes,3,15,23,30,11714.0
12,1.0,2.0,1,yes,3,15,23,30,11745.0
12,1.0,2.0,1,yes,3,15,23,30,5651.0
12,1.0,2.0,1,yes,3,15,23,30,5652.0
13,1.0,2.0,1,yes,3,10,13,55,6137.0
13,1.0,2.0,1,yes,3,10,13,55,6138.0
13,1.0,2.0,1,yes,3,10,13,55,11746.0
13,1.0,2.0,1,yes,3,10,13,55,11764.0
13,1.0,2.0,1,yes,3,10,13,55,11713.0
13,1.0,2.0,1,yes,3,10,13,55,11714.0
13,1.0,2.0,1,yes,3,10,13,55,11745.0
13,1.0,2.0,1,yes,3,10,13,55,5651.0
13,1.0,2.0,1,yes,3,10,13,55,5652.0
14,1.0,2.0,1,yes,2,12,12,51,6137.0
14,1.0,2.0,1,yes,2,12,12,51,6138.0
14,1.0,2.0,1,yes,2,12,12,51,11746.0
14,1.0,2.0,1,yes,2,12,12,51,11764.0
14,1.0,2.0,1,yes,2,12,12,51,11713.0
14,1.0,2.0,1,yes,2,12,12,51,11714.0
14,1.0,2.0,1,yes,2,12,12,51,11745.0
14,1.0,2.0,1,yes,2,12,12,51,5651.0
14,1.0,2.0,1,yes,2,12,12,51,5652.0
15,1.0,2.0,1,yes,2,28,9,49,6137.0
15,1.0,2.0,1,yes,2,28,9,49,6138.0
15,1.0,2.0,1,yes,2,28,9,49,11746.0
15,1.0,2.0,1,yes,2,28,9,49,11764.0
15,1.0,2.0,1,yes,2,28,9,49,11713.0
15,1.0,2.0,1,yes,2,28,9,49,11714.0
15,1.0,2.0,1,yes,2,28,9,49,11745.0
15,1.0,2.0,1,yes,2,28,9,49,5651.0
15,1.0,2.0,1,yes,2,28,9,49,5652.0
16,1.0,2.0,1,yes,2,18,16,45,6137.0
16,1.0,2.0,1,yes,2,18,16,45,6138.0
16,1.0,2.0,1,yes,2,18,16,45,11746.0
16,1.0,2.0,1,yes,2,18,16,45,11764.0
16,1.0,2.0,1,yes,2,18,16,45,11713.0
16,1.0,2.0,1,yes,2,18,16,45,11714.0
16,1.0,2.0,1,yes,2,18,16,45,11745.0
16,1.0,2.0,1,yes,2,18,16,45,5651.0
16,1.0,2.0,1,yes,2,18,16,45,5652.0
17,1.0,2.0,1,yes,2,15,11,30,6137.0
17,1.0,2.0,1,yes,2,15,11,30,6138.0
17,1.0,2.0,1,yes,2,15,11,30,11746.0
17,1.0,2.0,1,yes,2,15,11,30,11764.0
17,1.0,2.0,1,yes,2,15,11,30,11713.0
17,1.0,2.0,1,yes,2,15,11,30,11714.0
17,1.0,2.0,1,yes,2,15,11,30,11745.0
17,1.0,2.0,1,yes,2,15,11,30,5651.0
17,1.0,2.0,1,yes,2,15,11,30,5652.0
18,1.0,2.0,1,yes,3,14,9,13,6137.0
18,1.0,2.0,1,yes,3,14,9,13,6138.0
18,1.0,2.0,1,yes,3,14,9,13,11746.0
18,1.0,2.0,1,yes,3,14,9,13,11764.0
18,1.0,2.0,1,yes,3,14,9,13,11713.0
18,1.0,2.0,1,yes,3,14,9,13,11714.0
18,1.0,2.0,1,yes,3,14,9,13,11745.0
18,1.0,2.0,1,yes,3,14,9,13,5651.0
18,1.0,2.0,1,yes,3,14,9,13,5652.0
19,1.0,2.0,1,yes,3,7,23,5,6137.0
19,1.0,2.0,1,yes,3,7,23,5,6138.0
19,1.0,2.0,1,yes,3,7,23,5,11746.0
19,1.0,2.0,1,yes,3,7,23,5,11764.0
19,1.0,2.0,1,yes,3,7,23,5,11713.0
19,1.0,2.0,1,yes,3,7,23,5,11714.0
19,1.0,2.0,1,yes,3,7,23,5,11745.0
19,1.0,2.0,1,yes,3,7,23,5,5651.0
19,1.0,2.0,1,yes,3,7,23,5,5652.0
20,1.0,2.0,1,yes,2,24,13,20,6137.0
20,1.0,2.0,1,yes,2,24,13,20,6138.0
20,1.0,2.0,1,yes,2,24,13,20,11746.0
20,1.0,2.0,1,yes,2,24,13,20,11764.0
20,1.0,2.0,1,yes,2,24,13,20,11713.0
20,1.0,2.0,1,yes,2,24,13,20,11714.0
20,1.0,2.0,1,yes,2,24,13,20,11745.0
20,1.0,2.0,1,yes,2,24,13,20,5651.0
20,1.0,2.0,1,yes,2,24,13,20,5652.0
21,1.0,2.0,1,yes,3,10,11,39,6137.0
21,1.0,2.0,1,yes,3,10,11,39,6138.0
21,1.0,2.0,1,yes,3,10,11,39,11746.0
21,1.0,2.0,1,yes,3,10,11,39,11764.0
21,1.0,2.0,1,yes,3,10,11,39,11713.0
21,1.0,2.0,1,yes,3,10,11,39,11714.0
21,1.0,2.0,1,yes,3,10,11,39,11745.0
21,1.0,2.0,1,yes,3,10,11,39,5651.0
21,1.0,2.0,1,yes,3,10,11,39,5652.0
22,1.0,2.0,1,yes,2,26,16,58,6137.0
22,1.0,2.0,1,yes,2,26,16,58,6138.0
22,1.0,2.0,1,yes,2,26,16,58,11746.0
22,1.0,2.0,1,yes,2,26,16,58,11764.0
22,1.0,2.0,1,yes,2,26,16,58,11713.0
22,1.0,2.0,1,yes,2,26,16,58,11714.0
22,1.0,2.0,1,yes,2,26,16,58,11745.0
22,1.0,2.0,1,yes,2,26,16,58,5651.0
22,1.0,2.0,1,yes,2,26,16,58,5652.0
23,1.0,2.0,1,yes,3,8,4,5,6137.0
23,1.0,2.0,1,yes,3,8,4,5,6138.0
23,1.0,2.0,1,yes,3,8,4,5,11746.0
23,1.0,2.0,1,yes,3,8,4,5,11764.0
23,1.0,2.0,1,yes,3,8,4,5,11713.0
23,1.0,2.0,1,yes,3,8,4,5,11714.0
23,1.0,2.0,1,yes,3,8,4,5,11745.0
23,1.0,2.0,1,yes,3,8,4,5,5651.0
23,1.0,2.0,1,yes,3,8,4,5,5652.0
24,1.0,3.0,1,yes,3,1,17,44,6137.0
24,1.0,3.0,1,yes,3,1,17,44,7041.0
24,1.0,3.0,1,yes,3,1,17,44,6138.0
24,1.0,3.0,1,yes,3,1,17,44,6575.0
25,1.0,3.0,1,yes,3,30,7,9,6137.0
25,1.0,3.0,1,yes,3,30,7,9,7041.0
25,1.0,3.0,1,yes,3,30,7,9,6138.0
25,1.0,3.0,1,yes,3,30,7,9,6575.0
26,1.0,3.0,1,yes,3,6,0,41,6137.0
26,1.0,3.0,1,yes,3,6,0,41,7041.0
26,1.0,3.0,1,yes,3,6,0,41,6138.0
26,1.0,3.0,1,yes,3,6,0,41,6575.0
27,1.0,3.0,1,yes,4,28,10,50,6137.0
27,1.0,3.0,1,yes,4,28,10,50,7041.0
27,1.0,3.0,1,yes,4,28,10,50,6138.0
27,1.0,3.0,1,yes,4,28,10,50,6575.0
28,1.0,3.0,1,yes,2,28,16,40,6137.0
28,1.0,3.0,1,yes,2,28,16,40,7041.0
28,1.0,3.0,1,yes,2,28,16,40,6138.0
28,1.0,3.0,1,yes,2,28,16,40,6575.0
29,1.0,3.0,1,yes,3,10,16,30,6137.0
29,1.0,3.0,1,yes,3,10,16,30,7041.0
29,1.0,3.0,1,yes,3,10,16,30,6138.0
29,1.0,3.0,1,yes,3,10,16,30,6575.0
30,1.0,3.0,1,yes,2,14,14,57,6137.0
30,1.0,3.0,1,yes,2,14,14,57,7041.0
30,1.0,3.0,1,yes,2,14,14,57,6138.0
30,1.0,3.0,1,yes,2,14,14,57,6575.0
31,1.0,3.0,1,yes,3,12,16,45,6137.0
31,1.0,3.0,1,yes,3,12,16,45,7041.0
31,1.0,3.0,1,yes,3,12,16,45,6138.0
31,1.0,3.0,1,yes,3,12,16,45,6575.0
