zone_id,display_name,state,rtmc,timezone,road,direction,location_description,lane_type,organization,detector_type,latitude,longitude,bearing,default_speed,interval,length,FID,ROADWAY,COLOR_CODE,DISTRICT,COUNTYDOT,COUNTY,MNG_DIST,BEGIN_POST,END_POST,Shape_Leng,Shape__Len
"6138",I-4 EB @ MM 064.1-WB,District 5,Orlando,America/New_York,I-4,West,MVDS: I-4 at OSC MM064.1 ES,Unknown,FDOT,Radar,28.3324,-81.5454,,"65","30",0.6,,,,,,,,1.000000000000000,3.000000000000000,,
"6575",I-4 WB @ MM 064.7-WB,District 5,Orlando,America/New_York,I-4,West,MVDS: I-4 at OSC MM064.7 WS,Unknown,FDOT,Radar,28.34,-81.53886,,"65","30",0.5,,,,,,,,1.000000000000000,3.000000000000000,,
"6110",I-4 @ C Fl Parkway-link1,District 5,Orlando,America/New_York,I-4,East,I-4 @ C Fl Parkway,Unknown,FDOT,Single Loop,28.4095,-81.4759,,"70","30",,,,,,,,,3.000000000000000,5.000000000000000,,
"6564",I-4 East of SR 535-link1,District 5,Orlando,America/New_York,I-4,East,MVDS: I-4 at ORA MM069.0 ES,Unknown,FDOT,Single Loop,28.3877,-81.4959,,"60","30",,,,,,,,,3.000000000000000,5.000000000000000,,
"6587",I-4 Ramp SR 535-EB,District 5,Orlando,America/New_York,I-4,East,MVDS: I-4 at ORA MM068.6 WS,Unknown,FDOT,Single Loop,28.3823,-81.5007,,"60","30",,,,,,,,,3.000000000000000,5.000000000000000,,
"6834",I-4 EB @ MM 069.7-EB,District 5,Orlando,America/New_York,I-4,East,MVDS: I-4 at ORA MM069.7 ES,Unknown,FDOT,Radar,28.3965,-81.4873,,"65","30",0.7,,,,,,,,3.000000000000000,5.000000000000000,,
"7042",I-4 W of C FL Pkwy-EB,District 5,Orlando,America/New_York,I-4,East,MVDS: I-4 at ORA MM070.3 ES,Unknown,FDOT,Single Loop,28.4032,-81.4817,,"60","30",,,,,,,,,3.000000000000000,5.000000000000000,,
"7045",I-4 WB @ MM 066.5-EB,District 5,Orlando,America/New_York,I-4,East,MVDS: I-4 at ORA MM066.5 WS,Unknown,FDOT,Radar,28.35975,-81.52096,,"65","30",0.7,,,,,,,,3.000000000000000,5.000000000000000,,
"7738",I-4 WB @ MM 065.2-EB,District 5,,America/New_York,I-4,East,MVDS: I-4 at OSC MM065.2 WS,Unknown,FDOT,Radar,28.34608,-81.53316,,"65","30",0.5,,,,,,,,3.000000000000000,5.000000000000000,,
"9681",I-4 EB @ MM 067.2-EB,District 5,,America/New_York,I-4,East,MVDS: I-4 at ORA MM067.2 ES,Unknown,FDOT,Radar,28.37083,-81.51028,,"45","30",0.7,,,,,,,,3.000000000000000,5.000000000000000,,
